Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,8.0,0.0,0
All Heuristics,p=0,1,8.0,0.0,0
All Heuristics,p=0,2,8.0,0.0,0
All Heuristics,p=0,3,12.0,0.0,0
All Heuristics,p=0,4,12.0,0.0,0
All Heuristics,p=0,5,16.0,0.0,0
All Heuristics,p=0,6,16.0,33.33333333333333,11.0
All Heuristics,p=0,7,20.0,0.0,0
All Heuristics,p=0,8,24.0,0.0,0
All Heuristics,p=0,9,28.000000000000004,25.0,17.0
All Heuristics,p=0,10,32.0,0.0,0
All Heuristics,p=0,11,36.0,25.0,17.0
All Heuristics,p=0,12,36.0,25.0,17.0
All Heuristics,p=0,13,36.0,0.0,0
All Heuristics,p=0,14,36.0,25.0,17.0
All Heuristics,p=0,15,40.0,0.0,0
All Heuristics,p=0,16,44.0,25.0,18.0
All Heuristics,p=0,17,48.0,25.0,18.0
All Heuristics,p=0,18,52.0,25.0,18.0
All Heuristics,p=0,19,56.00000000000001,75.0,6.0
All Heuristics,p=0,20,56.00000000000001,75.0,4.666666666666667
All Heuristics,p=0,21,56.00000000000001,100.0,2.75
All Heuristics,p=0,22,60.0,100.0,2.75
All Heuristics,p=0,23,64.0,100.0,2.75
All Heuristics,p=0.5,0,0.0,0.0,0
All Heuristics,p=0.5,1,4.0,0.0,0
All Heuristics,p=0.5,2,4.0,0.0,0
All Heuristics,p=0.5,3,4.0,0.0,0
All Heuristics,p=0.5,4,8.0,0.0,0
All Heuristics,p=0.5,5,8.0,0.0,0
All Heuristics,p=0.5,6,8.0,0.0,0
All Heuristics,p=0.5,7,12.0,100.0,4.0
All Heuristics,p=0.5,8,12.0,50.0,6.0
All Heuristics,p=0.5,9,12.0,100.0,2.5
All Heuristics,p=0.5,10,12.0,100.0,2.5
All Heuristics,p=0.5,11,12.0,100.0,2.5
All Heuristics,p=0.5,12,12.0,100.0,2.5
All Heuristics,p=0.5,13,16.0,66.66666666666666,3.5
All Heuristics,p=0.5,14,16.0,66.66666666666666,3.5
All Heuristics,p=0.5,15,20.0,100.0,2.3333333333333335
All Heuristics,p=0.5,16,24.0,75.0,4.333333333333333
All Heuristics,p=0.5,17,28.000000000000004,75.0,4.333333333333333
All Heuristics,p=0.5,18,32.0,75.0,4.333333333333333
All Heuristics,p=0.5,19,36.0,75.0,4.333333333333333
All Heuristics,p=0.5,20,44.0,100.0,3.25
All Heuristics,p=0.5,21,48.0,100.0,3.25
All Heuristics,p=0.5,22,52.0,100.0,3.25
All Heuristics,p=0.5,23,52.0,100.0,3.25
All Heuristics,p=0.5,24,52.0,100.0,3.25
All Heuristics,p=1,0,4.0,0.0,0
All Heuristics,p=1,1,8.0,100.0,2.0
All Heuristics,p=1,2,12.0,100.0,2.0
All Heuristics,p=1,3,16.0,50.0,10.0
All Heuristics,p=1,4,20.0,50.0,10.0
All Heuristics,p=1,5,20.0,50.0,6.0
All Heuristics,p=1,6,24.0,50.0,6.0
All Heuristics,p=1,7,28.000000000000004,100.0,3.0
All Heuristics,p=1,8,32.0,100.0,2.3333333333333335
All Heuristics,p=1,9,36.0,100.0,2.3333333333333335
All Heuristics,p=1,10,40.0,75.0,4.333333333333333
All Heuristics,p=1,11,40.0,100.0,2.0
All Heuristics,p=1,12,40.0,100.0,2.0
All Heuristics,p=1,13,44.0,100.0,2.0
All Heuristics,p=1,14,44.0,100.0,2.0
All Heuristics,p=1,15,48.0,100.0,2.0
All Heuristics,p=1,16,52.0,100.0,2.0
All Heuristics,p=1,17,56.00000000000001,50.0,5.0
All Heuristics,p=1,18,60.0,100.0,2.25
All Heuristics,p=1,19,60.0,100.0,2.25
All Heuristics,p=1,20,60.0,100.0,2.25
All Heuristics,p=1,21,64.0,100.0,2.5
All Heuristics,p=1,22,68.0,100.0,2.5
All Heuristics,p=1,23,68.0,100.0,2.5
