Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 2 Only,p=0,0,8.0,0.0,0
Heuristic 2 Only,p=0,1,12.0,0.0,0
Heuristic 2 Only,p=0,2,16.0,50.0,7.0
Heuristic 2 Only,p=0,3,20.0,0.0,0
Heuristic 2 Only,p=0,4,24.0,33.33333333333333,13.0
Heuristic 2 Only,p=0,5,24.0,66.66666666666666,5.0
Heuristic 2 Only,p=0,6,24.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,7,24.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,8,28.000000000000004,66.66666666666666,5.0
Heuristic 2 Only,p=0,9,28.000000000000004,66.66666666666666,5.0
Heuristic 2 Only,p=0,10,32.0,33.33333333333333,13.0
Heuristic 2 Only,p=0,11,32.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,12,36.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,13,36.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,14,36.0,66.66666666666666,5.0
Heuristic 2 Only,p=0,15,40.0,0.0,0
Heuristic 2 Only,p=0,16,44.0,33.33333333333333,14.0
Heuristic 2 Only,p=0,17,48.0,50.0,7.5
Heuristic 2 Only,p=0,18,48.0,33.33333333333333,11.0
Heuristic 2 Only,p=0,19,52.0,66.66666666666666,5.5
Heuristic 2 Only,p=0,20,52.0,66.66666666666666,3.5
Heuristic 2 Only,p=0,21,56.00000000000001,66.66666666666666,3.5
Heuristic 2 Only,p=0,22,56.00000000000001,100.0,1.25
Heuristic 2 Only,p=0,23,60.0,100.0,1.25
Heuristic 2 Only,p=0.5,0,8.0,0.0,0
Heuristic 2 Only,p=0.5,1,12.0,0.0,0
Heuristic 2 Only,p=0.5,2,16.0,0.0,0
Heuristic 2 Only,p=0.5,3,16.0,0.0,0
Heuristic 2 Only,p=0.5,4,20.0,0.0,0
Heuristic 2 Only,p=0.5,5,20.0,0.0,0
Heuristic 2 Only,p=0.5,6,24.0,0.0,0
Heuristic 2 Only,p=0.5,7,28.000000000000004,0.0,0
Heuristic 2 Only,p=0.5,8,28.000000000000004,25.0,11.0
Heuristic 2 Only,p=0.5,9,28.000000000000004,50.0,5.0
Heuristic 2 Only,p=0.5,10,32.0,50.0,5.0
Heuristic 2 Only,p=0.5,11,32.0,50.0,4.0
Heuristic 2 Only,p=0.5,12,36.0,50.0,4.0
Heuristic 2 Only,p=0.5,13,36.0,75.0,2.3333333333333335
Heuristic 2 Only,p=0.5,14,40.0,75.0,2.6666666666666665
Heuristic 2 Only,p=0.5,15,44.0,100.0,1.75
Heuristic 2 Only,p=0.5,16,48.0,100.0,1.75
Heuristic 2 Only,p=0.5,17,52.0,100.0,1.75
Heuristic 2 Only,p=0.5,18,56.00000000000001,75.0,2.6666666666666665
Heuristic 2 Only,p=0.5,19,56.00000000000001,100.0,1.75
Heuristic 2 Only,p=0.5,20,56.00000000000001,100.0,1.75
Heuristic 2 Only,p=0.5,21,60.0,100.0,1.75
Heuristic 2 Only,p=0.5,22,64.0,100.0,1.75
Heuristic 2 Only,p=0.5,23,68.0,100.0,1.75
Heuristic 2 Only,p=1,0,8.0,0.0,0
Heuristic 2 Only,p=1,1,12.0,0.0,0
Heuristic 2 Only,p=1,2,12.0,50.0,9.0
Heuristic 2 Only,p=1,3,12.0,0.0,0
Heuristic 2 Only,p=1,4,12.0,0.0,0
Heuristic 2 Only,p=1,5,12.0,0.0,0
Heuristic 2 Only,p=1,6,12.0,100.0,1.0
Heuristic 2 Only,p=1,7,16.0,50.0,5.0
Heuristic 2 Only,p=1,8,20.0,50.0,5.0
Heuristic 2 Only,p=1,9,20.0,66.66666666666666,2.0
Heuristic 2 Only,p=1,10,24.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,11,28.000000000000004,100.0,1.3333333333333333
Heuristic 2 Only,p=1,12,32.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,13,36.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,14,36.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,15,36.0,100.0,1.3333333333333333
Heuristic 2 Only,p=1,16,40.0,100.0,1.25
Heuristic 2 Only,p=1,17,44.0,100.0,1.25
Heuristic 2 Only,p=1,18,48.0,100.0,1.25
Heuristic 2 Only,p=1,19,52.0,100.0,1.25
Heuristic 2 Only,p=1,20,56.00000000000001,100.0,1.25
Heuristic 2 Only,p=1,21,60.0,100.0,1.25
Heuristic 2 Only,p=1,22,64.0,100.0,1.25
Heuristic 2 Only,p=1,23,68.0,100.0,1.25
