Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
All Heuristics,p=0,0,4.0,0.0,0
All Heuristics,p=0,1,4.0,0.0,0
All Heuristics,p=0,2,4.0,0.0,0
All Heuristics,p=0,3,8.0,0.0,0
All Heuristics,p=0,4,8.0,0.0,0
All Heuristics,p=0,5,12.0,33.33333333333333,11.0
All Heuristics,p=0,6,12.0,0.0,0
All Heuristics,p=0,7,12.0,0.0,0
All Heuristics,p=0,8,12.0,0.0,0
All Heuristics,p=0,9,16.0,0.0,0
All Heuristics,p=0,10,20.0,0.0,0
All Heuristics,p=0,11,24.0,0.0,0
All Heuristics,p=0,12,24.0,50.0,5.0
All Heuristics,p=0,13,28.000000000000004,50.0,6.0
All Heuristics,p=0,14,28.000000000000004,50.0,6.0
All Heuristics,p=0,15,32.0,100.0,1.3333333333333333
All Heuristics,p=0,16,36.0,100.0,1.25
All Heuristics,p=0,17,36.0,100.0,1.25
All Heuristics,p=0,18,36.0,100.0,1.25
All Heuristics,p=0,19,40.0,75.0,2.0
All Heuristics,p=0,20,44.0,75.0,2.0
All Heuristics,p=0,21,44.0,75.0,2.0
All Heuristics,p=0,22,48.0,75.0,2.0
All Heuristics,p=0,23,52.0,100.0,1.5
All Heuristics,p=0.5,0,4.0,0.0,0
All Heuristics,p=0.5,1,4.0,0.0,0
All Heuristics,p=0.5,2,8.0,0.0,0
All Heuristics,p=0.5,3,12.0,0.0,0
All Heuristics,p=0.5,4,16.0,0.0,0
All Heuristics,p=0.5,5,16.0,0.0,0
All Heuristics,p=0.5,6,20.0,100.0,4.0
All Heuristics,p=0.5,7,24.0,50.0,12.0
All Heuristics,p=0.5,8,24.0,50.0,8.0
All Heuristics,p=0.5,9,24.0,100.0,4.0
All Heuristics,p=0.5,10,28.000000000000004,100.0,4.0
All Heuristics,p=0.5,11,28.000000000000004,100.0,4.0
All Heuristics,p=0.5,12,28.000000000000004,100.0,4.0
All Heuristics,p=0.5,13,32.0,50.0,6.0
All Heuristics,p=0.5,14,32.0,100.0,4.0
All Heuristics,p=0.5,15,32.0,100.0,4.0
All Heuristics,p=0.5,16,36.0,100.0,4.0
All Heuristics,p=0.5,17,36.0,100.0,4.0
All Heuristics,p=0.5,18,40.0,100.0,2.5
All Heuristics,p=0.5,19,40.0,100.0,2.5
All Heuristics,p=0.5,20,44.0,100.0,2.5
All Heuristics,p=0.5,21,44.0,100.0,2.5
All Heuristics,p=0.5,22,44.0,100.0,2.5
All Heuristics,p=0.5,23,44.0,100.0,2.5
All Heuristics,p=1,0,4.0,0.0,0
All Heuristics,p=1,1,8.0,0.0,0
All Heuristics,p=1,2,12.0,0.0,0
All Heuristics,p=1,3,16.0,0.0,0
All Heuristics,p=1,4,16.0,0.0,0
All Heuristics,p=1,5,16.0,0.0,0
All Heuristics,p=1,6,20.0,0.0,0
All Heuristics,p=1,7,20.0,0.0,0
All Heuristics,p=1,8,20.0,50.0,6.0
All Heuristics,p=1,9,24.0,100.0,3.0
All Heuristics,p=1,10,28.000000000000004,66.66666666666666,4.0
All Heuristics,p=1,11,28.000000000000004,100.0,2.3333333333333335
All Heuristics,p=1,12,32.0,75.0,3.0
All Heuristics,p=1,13,32.0,100.0,2.0
All Heuristics,p=1,14,32.0,100.0,2.0
All Heuristics,p=1,15,32.0,100.0,2.0
All Heuristics,p=1,16,32.0,100.0,2.0
All Heuristics,p=1,17,32.0,100.0,2.0
All Heuristics,p=1,18,32.0,100.0,2.0
All Heuristics,p=1,19,32.0,100.0,2.0
All Heuristics,p=1,20,32.0,100.0,2.0
All Heuristics,p=1,21,32.0,100.0,2.0
All Heuristics,p=1,22,32.0,100.0,2.0
All Heuristics,p=1,23,36.0,100.0,2.0
