Scenario,Probability,Iteration,Accuracy,Rule Percentage,Conciseness
Heuristic 3 Only,p=0,0,4.0,0.0,0
Heuristic 3 Only,p=0,1,8.0,50.0,9.0
Heuristic 3 Only,p=0,2,8.0,0.0,0
Heuristic 3 Only,p=0,3,8.0,0.0,0
Heuristic 3 Only,p=0,4,8.0,0.0,0
Heuristic 3 Only,p=0,5,12.0,0.0,0
Heuristic 3 Only,p=0,6,16.0,33.33333333333333,13.0
Heuristic 3 Only,p=0,7,16.0,0.0,0
Heuristic 3 Only,p=0,8,20.0,0.0,0
Heuristic 3 Only,p=0,9,20.0,0.0,0
Heuristic 3 Only,p=0,10,20.0,0.0,0
Heuristic 3 Only,p=0,11,20.0,50.0,5.0
Heuristic 3 Only,p=0,12,20.0,50.0,5.0
Heuristic 3 Only,p=0,13,24.0,50.0,5.0
Heuristic 3 Only,p=0,14,28.000000000000004,25.0,12.0
Heuristic 3 Only,p=0,15,32.0,25.0,12.0
Heuristic 3 Only,p=0,16,32.0,50.0,5.5
Heuristic 3 Only,p=0,17,32.0,25.0,9.0
Heuristic 3 Only,p=0,18,36.0,25.0,9.0
Heuristic 3 Only,p=0,19,36.0,75.0,2.6666666666666665
Heuristic 3 Only,p=0,20,36.0,50.0,4.0
Heuristic 3 Only,p=0,21,40.0,75.0,3.0
Heuristic 3 Only,p=0,22,40.0,100.0,2.0
Heuristic 3 Only,p=0,23,44.0,100.0,2.0
Heuristic 3 Only,p=0.5,0,8.0,0.0,0
Heuristic 3 Only,p=0.5,1,8.0,50.0,9.0
Heuristic 3 Only,p=0.5,2,12.0,50.0,9.0
Heuristic 3 Only,p=0.5,3,16.0,50.0,7.0
Heuristic 3 Only,p=0.5,4,20.0,50.0,7.0
Heuristic 3 Only,p=0.5,5,24.0,33.33333333333333,11.0
Heuristic 3 Only,p=0.5,6,24.0,66.66666666666666,5.0
Heuristic 3 Only,p=0.5,7,24.0,33.33333333333333,9.0
Heuristic 3 Only,p=0.5,8,24.0,0.0,0
Heuristic 3 Only,p=0.5,9,28.000000000000004,50.0,3.0
Heuristic 3 Only,p=0.5,10,32.0,66.66666666666666,2.0
Heuristic 3 Only,p=0.5,11,32.0,33.33333333333333,5.0
Heuristic 3 Only,p=0.5,12,32.0,66.66666666666666,2.0
Heuristic 3 Only,p=0.5,13,32.0,100.0,1.0
Heuristic 3 Only,p=0.5,14,36.0,75.0,1.6666666666666667
Heuristic 3 Only,p=0.5,15,36.0,100.0,1.0
Heuristic 3 Only,p=0.5,16,40.0,100.0,1.0
Heuristic 3 Only,p=0.5,17,40.0,100.0,1.0
Heuristic 3 Only,p=0.5,18,40.0,100.0,1.0
Heuristic 3 Only,p=0.5,19,44.0,75.0,1.6666666666666667
Heuristic 3 Only,p=0.5,20,48.0,100.0,1.25
Heuristic 3 Only,p=0.5,21,48.0,100.0,1.25
Heuristic 3 Only,p=0.5,22,52.0,100.0,1.25
Heuristic 3 Only,p=0.5,23,56.00000000000001,100.0,1.25
Heuristic 3 Only,p=1,0,4.0,0.0,0
Heuristic 3 Only,p=1,1,4.0,0.0,0
Heuristic 3 Only,p=1,2,4.0,50.0,5.0
Heuristic 3 Only,p=1,3,8.0,50.0,3.0
Heuristic 3 Only,p=1,4,12.0,100.0,1.0
Heuristic 3 Only,p=1,5,12.0,100.0,1.0
Heuristic 3 Only,p=1,6,12.0,100.0,1.0
Heuristic 3 Only,p=1,7,12.0,100.0,1.0
Heuristic 3 Only,p=1,8,12.0,100.0,1.0
Heuristic 3 Only,p=1,9,16.0,50.0,3.0
Heuristic 3 Only,p=1,10,16.0,100.0,1.0
Heuristic 3 Only,p=1,11,16.0,100.0,1.0
Heuristic 3 Only,p=1,12,20.0,100.0,1.0
Heuristic 3 Only,p=1,13,24.0,100.0,1.0
Heuristic 3 Only,p=1,14,24.0,100.0,1.0
Heuristic 3 Only,p=1,15,24.0,100.0,1.0
Heuristic 3 Only,p=1,16,24.0,100.0,1.0
Heuristic 3 Only,p=1,17,24.0,100.0,1.0
Heuristic 3 Only,p=1,18,24.0,100.0,1.0
Heuristic 3 Only,p=1,19,28.000000000000004,100.0,1.0
Heuristic 3 Only,p=1,20,32.0,100.0,1.0
Heuristic 3 Only,p=1,21,32.0,100.0,1.0
Heuristic 3 Only,p=1,22,32.0,100.0,1.0
Heuristic 3 Only,p=1,23,32.0,100.0,1.0
